Time,Curr. to A, Curr. to B,Temp. of A,Temp. of B,Voltage,Ant. azimuth,Switched ant.
14/02/2024 15:00:18,221.0,266.0,11.0,10.0,7.0,276.0 °,2
14/02/2024 15:00:26,386.0,599.0,11.0,10.0,11.0,276.0 °,2
14/02/2024 15:00:35,176.0,543.0,11.0,10.0,7.0,276.0 °,2
14/02/2024 15:00:43,333.0,155.0,11.0,10.0,8.0,276.0 °,2
14/02/2024 15:00:52,387.0,756.0,11.0,10.0,11.0,276.0 °,2
14/02/2024 15:01:00,598.0,175.0,11.0,10.0,9.0,276.0 °,2
14/02/2024 15:01:08,540.0,501.0,11.0,10.0,8.0,276.0 °,2
14/02/2024 15:01:17,776.0,668.0,11.0,10.0,11.0,276.0 °,2
14/02/2024 15:01:25,785.0,650.0,11.0,10.0,6.0,276.0 °,2
14/02/2024 15:01:34,450.0,367.0,11.0,10.0,5.0,276.0 °,2
14/02/2024 15:01:42,324.0,133.0,11.0,10.0,8.0,276.0 °,2
14/02/2024 15:01:51,563.0,480.0,11.0,10.0,10.0,276.0 °,2
14/02/2024 15:01:59,365.0,584.0,11.0,10.0,11.0,276.0 °,2
14/02/2024 15:02:07,173.0,753.0,11.0,10.0,6.0,276.0 °,2
14/02/2024 15:02:16,141.0,677.0,11.0,10.0,5.0,276.0 °,2
14/02/2024 15:02:24,618.0,792.0,11.0,10.0,10.0,276.0 °,2
14/02/2024 15:02:33,305.0,526.0,11.0,10.0,5.0,276.0 °,2
14/02/2024 15:02:41,454.0,631.0,11.0,10.0,10.0,276.0 °,2
14/02/2024 15:02:49,520.0,525.0,11.0,10.0,7.0,276.0 °,2
14/02/2024 15:02:58,259.0,464.0,11.0,10.0,6.0,276.0 °,2
14/02/2024 15:03:06,555.0,615.0,11.0,10.0,11.0,276.0 °,2
14/02/2024 15:03:15,541.0,355.0,11.0,10.0,11.0,276.0 °,2
14/02/2024 15:03:23,650.0,338.0,11.0,10.0,5.0,276.0 °,2
14/02/2024 15:03:32,706.0,737.0,11.0,10.0,8.0,276.0 °,2
14/02/2024 15:03:40,420.0,312.0,11.0,10.0,8.0,276.0 °,2
14/02/2024 15:03:48,148.0,344.0,11.0,10.0,9.0,276.0 °,2
14/02/2024 15:03:57,477.0,632.0,11.0,10.0,10.0,276.0 °,2
14/02/2024 15:04:05,217.0,605.0,11.0,10.0,5.0,276.0 °,2
14/02/2024 15:04:14,663.0,636.0,11.0,10.0,9.0,276.0 °,2
14/02/2024 15:04:22,744.0,237.0,11.0,10.0,8.0,276.0 °,2
14/02/2024 15:04:31,501.0,589.0,11.0,10.0,6.0,276.0 °,2
14/02/2024 15:04:39,713.0,655.0,11.0,10.0,6.0,276.0 °,2
14/02/2024 15:04:56,171.0,587.0,11.0,10.0,8.0,276.0 °,2
14/02/2024 15:05:05,381.0,773.0,11.0,10.0,10.0,276.0 °,2
14/02/2024 15:05:15,659.0,572.0,3.0,0.0,6.0,276.0 °,2
14/02/2024 15:05:40,135.0,220.0,3.0,0.0,9.0,276.0 °,2
14/02/2024 15:05:57,248.0,273.0,3.0,0.0,7.0,276.0 °,2
14/02/2024 15:06:22,485.0,511.0,3.0,0.0,10.0,276.0 °,2
14/02/2024 15:06:30,559.0,236.0,3.0,0.0,6.0,276.0 °,2
14/02/2024 15:06:47,572.0,601.0,3.0,0.0,8.0,276.0 °,2
14/02/2024 15:07:04,541.0,396.0,3.0,0.0,7.0,276.0 °,2
14/02/2024 15:07:13,426.0,539.0,3.0,0.0,6.0,276.0 °,2
14/02/2024 15:07:21,747.0,110.0,3.0,0.0,5.0,276.0 °,2
14/02/2024 15:07:29,738.0,165.0,3.0,0.0,11.0,276.0 °,4
14/02/2024 15:07:31,738.0,165.0,3.0,0.0,11.0,276.0 °,1
14/02/2024 15:07:32,738.0,165.0,3.0,0.0,11.0,276.0 °,1
14/02/2024 15:07:38,340.0,393.0,3.0,0.0,6.0,276.0 °,0
14/02/2024 15:07:39,340.0,393.0,3.0,0.0,6.0,276.0 °,0
14/02/2024 15:07:47,660.0,489.0,3.0,0.0,9.0,276.0 °,3
14/02/2024 15:07:50,123.0,648.0,3.0,0.0,10.0,276.0 °,0
14/02/2024 15:07:54,123.0,648.0,3.0,0.0,10.0,276.0 °,0
14/02/2024 15:08:03,753.0,625.0,3.0,0.0,8.0,276.0 °,0
14/02/2024 15:08:11,467.0,795.0,3.0,0.0,9.0,276.0 °,0
14/02/2024 15:08:20,378.0,187.0,3.0,0.0,6.0,276.0 °,0
14/02/2024 15:08:37,524.0,477.0,3.0,0.0,7.0,276.0 °,0
14/02/2024 15:08:53,504.0,572.0,3.0,0.0,9.0,276.0 °,0
14/02/2024 15:09:02,297.0,722.0,3.0,0.0,11.0,276.0 °,0
14/02/2024 15:09:27,124.0,395.0,3.0,0.0,9.0,276.0 °,0
14/02/2024 15:09:35,677.0,506.0,3.0,0.0,10.0,276.0 °,0
14/02/2024 15:09:44,359.0,675.0,3.0,0.0,11.0,276.0 °,0
14/02/2024 15:09:52,150.0,755.0,3.0,0.0,10.0,276.0 °,0
14/02/2024 15:10:26,611.0,600.0,-1.0,18.0,10.0,276.0 °,0
14/02/2024 15:10:42,451.0,169.0,-1.0,18.0,11.0,276.0 °,0
14/02/2024 15:10:59,556.0,396.0,-1.0,18.0,8.0,276.0 °,0
